Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D53,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-197.025,0.0,top
D54,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-199.525,0.0,top
D55,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-202.025,0.0,top
D56,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-204.625,0.0,top
D57,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-207.125,0.0,top
D58,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-209.725,0.0,top
D59,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-212.225,0.0,top
D6,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-209.75,180.0,top
D60,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-214.75,0.0,top
D61,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-217.325,0.0,top
D62,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-219.925,0.0,top
D63,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-222.425,0.0,top
D7,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-207.125,180.0,top
D8,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-204.625,180.0,top
D9,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-202.025,180.0,top
J1,Conn_02x32_Counter_Clockwise,DIP-64_W22.86mm_LongPads,200.63,-183.03,180.0,top
R1,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-222.3775,0.0,bottom
R10,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-199.525,180.0,bottom
R11,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-197.0,180.0,bottom
R12,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-194.5,180.0,bottom
R13,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-191.925,180.0,bottom
R14,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-189.325,0.0,bottom
R15,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-186.825,0.0,bottom
R17,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-181.75,180.0,bottom
R18,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-179.25,180.0,bottom
R19,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-176.625,180.0,bottom
R2,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-219.825,0.0,bottom
R20,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-174.125,0.0,bottom
R21,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-171.625,180.0,bottom
R22,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-169.0,180.0,bottom
R23,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-166.525,180.0,bottom
R24,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-163.925,180.0,bottom
R25,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-161.425,180.0,bottom
